"","month","value","year","Departamento","Municipio","variable","sector"
"513","Mayo",3,2016,"05 - Antioquia","05051 - Arboletes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"613","Junio",2,2016,"05 - Antioquia","05051 - Arboletes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"713","Julio",2,2016,"05 - Antioquia","05051 - Arboletes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"813","Agosto",2,2016,"05 - Antioquia","05051 - Arboletes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"913","Septiembre",2,2016,"05 - Antioquia","05051 - Arboletes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1013","Octubre",2,2016,"05 - Antioquia","05051 - Arboletes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1114","Noviembre",2,2016,"05 - Antioquia","05051 - Arboletes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1213","Diciembre",2,2016,"05 - Antioquia","05051 - Arboletes","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"133","Enero",NA,2016,"05 - Antioquia","05055 - Argelia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"214","Febrero",NA,2016,"05 - Antioquia","05055 - Argelia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"314","Marzo",NA,2016,"05 - Antioquia","05055 - Argelia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"414","Abril",NA,2016,"05 - Antioquia","05055 - Argelia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"514","Mayo",NA,2016,"05 - Antioquia","05055 - Argelia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"614","Junio",NA,2016,"05 - Antioquia","05055 - Argelia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"714","Julio",NA,2016,"05 - Antioquia","05055 - Argelia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"814","Agosto",NA,2016,"05 - Antioquia","05055 - Argelia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"914","Septiembre",NA,2016,"05 - Antioquia","05055 - Argelia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1014","Octubre",NA,2016,"05 - Antioquia","05055 - Argelia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1115","Noviembre",NA,2016,"05 - Antioquia","05055 - Argelia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"1214","Diciembre",NA,2016,"05 - Antioquia","05055 - Argelia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"134","Enero",NA,2016,"05 - Antioquia","05059 - Armenia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"215","Febrero",NA,2016,"05 - Antioquia","05059 - Armenia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"315","Marzo",NA,2016,"05 - Antioquia","05059 - Armenia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"415","Abril",NA,2016,"05 - Antioquia","05059 - Armenia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"515","Mayo",NA,2016,"05 - Antioquia","05059 - Armenia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"615","Junio",NA,2016,"05 - Antioquia","05059 - Armenia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"715","Julio",NA,2016,"05 - Antioquia","05059 - Armenia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"815","Agosto",NA,2016,"05 - Antioquia","05059 - Armenia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
"915","Septiembre",NA,2016,"05 - Antioquia","05059 - Armenia","NumerodeCotizantes","B - EXPLOTACIÓN DE MINAS Y CANTERAS"
