"dane_code","department","municipality","cod_dde_2026","cod_mme_2026","municipality_2026","pvs1_petro_2022","petro_winner_2022","winner_name_2022","share_cepeda_2026","cepeda_winner_2026","winner_name_2026","total_votes_2026","match_type","switched_plurality","petro_share_diff","petro_supporter_switched"
"15537","Boyaca","Paz De Rio","07","199","PAZ DE RIO",0.453100025653839,TRUE,"gustavo_petro",0.4632507349853,TRUE,"IVÁN CEPEDA CASTRO",2381,"exact",FALSE,0.0101507093314612,"No Switch (Still Petro)"
"15542","Boyaca","Pesca","07","202","PESCA",0.189999997615814,FALSE,"rodolfo_hernández",0.182926829268293,FALSE,"ABELARDO DE LA ESPRIELLA",3362,"exact",FALSE,-0.00707316834752153,"Did not vote Petro before"
"15550","Boyaca","Pisba","07","205","PISBA",0.214699998497963,FALSE,"rodolfo_hernández",0.17671809256662,FALSE,"ABELARDO DE LA ESPRIELLA",713,"exact",FALSE,-0.037981905931343,"Did not vote Petro before"
"15572","Boyaca","Puerto Boyaca","07","214","PUERTO BOYACA",0.228200003504753,FALSE,"rodolfo_hernández",0.334795499776613,FALSE,"ABELARDO DE LA ESPRIELLA",24621,"exact",FALSE,0.10659549627186,"Did not vote Petro before"
"15580","Boyaca","Quipama","07","215","QUIPAMA",0.13910000026226,FALSE,"rodolfo_hernández",0.182078559738134,FALSE,"ABELARDO DE LA ESPRIELLA",2444,"exact",FALSE,0.0429785594758738,"Did not vote Petro before"
"15599","Boyaca","Ramiriqui","07","217","RAMIRIQUI",0.243300005793571,FALSE,"rodolfo_hernández",0.256480218281037,FALSE,"ABELARDO DE LA ESPRIELLA",5864,"exact",FALSE,0.0131802124874654,"Did not vote Petro before"
"15600","Boyaca","Raquira","07","220","RAQUIRA",0.218700006604195,FALSE,"rodolfo_hernández",0.233615221987315,FALSE,"ABELARDO DE LA ESPRIELLA",3784,"exact",FALSE,0.0149152153831204,"Did not vote Petro before"
"15621","Boyaca","Rondon","07","223","RONDON",0.209199994802475,FALSE,"rodolfo_hernández",0.203090507726269,FALSE,"ABELARDO DE LA ESPRIELLA",1359,"exact",FALSE,-0.00610948707620565,"Did not vote Petro before"
"15632","Boyaca","Saboya","07","226","SABOYA",0.278200000524521,FALSE,"rodolfo_hernández",0.269154607768469,FALSE,"ABELARDO DE LA ESPRIELLA",6565,"exact",FALSE,-0.00904539275605171,"Did not vote Petro before"
"15638","Boyaca","Sachica","07","232","SACHICA",0.253800004720688,FALSE,"rodolfo_hernández",0.266390833863781,FALSE,"ABELARDO DE LA ESPRIELLA",3142,"exact",FALSE,0.0125908291430932,"Did not vote Petro before"
"15646","Boyaca","Samaca","07","235","SAMACA",0.264500021934509,FALSE,"rodolfo_hernández",0.237328057282834,FALSE,"ABELARDO DE LA ESPRIELLA",10614,"exact",FALSE,-0.0271719646516753,"Did not vote Petro before"
"15660","Boyaca","San Eduardo","07","237","SAN EDUARDO",0.243300005793571,FALSE,"rodolfo_hernández",0.281348788198103,FALSE,"ABELARDO DE LA ESPRIELLA",949,"exact",FALSE,0.0380487824045318,"Did not vote Petro before"
"15664","Boyaca","San Jose De Pare","07","238","SAN JOSE DE PARE",0.131699994206429,FALSE,"rodolfo_hernández",0.175765645805593,FALSE,"ABELARDO DE LA ESPRIELLA",3004,"exact",FALSE,0.044065651599164,"Did not vote Petro before"
"15667","Boyaca","San Luis De Gaceno","07","241","SAN LUIS DE GACENO",0.10869999974966,FALSE,"rodolfo_hernández",0.112452830188679,FALSE,"ABELARDO DE LA ESPRIELLA",2650,"exact",FALSE,0.00375283043901875,"Did not vote Petro before"
"15673","Boyaca","San Mateo","07","247","SAN MATEO",0.0832000002264977,FALSE,"rodolfo_hernández",0.108308605341246,FALSE,"ABELARDO DE LA ESPRIELLA",2022,"exact",FALSE,0.0251086051147486,"Did not vote Petro before"
"15676","Boyaca","San Miguel De Sema","07","248","SAN MIGUEL DE SEMA",0.128100007772446,FALSE,"rodolfo_hernández",0.211068909386869,FALSE,"ABELARDO DE LA ESPRIELLA",1843,"exact",FALSE,0.0829689016144236,"Did not vote Petro before"
"15681","Boyaca","San Pablo De Borbur","07","249","SAN PABLO DE BORBUR",0.108000002801418,FALSE,"rodolfo_hernández",0.14330844342332,FALSE,"ABELARDO DE LA ESPRIELLA",3482,"exact",FALSE,0.0353084406219016,"Did not vote Petro before"
"15686","Boyaca","Santana","07","250","SANTANA",0.178600013256073,FALSE,"rodolfo_hernández",0.23943661971831,FALSE,"ABELARDO DE LA ESPRIELLA",3905,"exact",FALSE,0.0608366064622368,"Did not vote Petro before"
"15690","Boyaca","Santa Maria","07","251","SANTA MARIA",0.274500012397766,FALSE,"rodolfo_hernández",0.320348539210661,FALSE,"ABELARDO DE LA ESPRIELLA",1951,"exact",FALSE,0.0458485268128951,"Did not vote Petro before"
"15693","Boyaca","Santa Rosa De Viterbo","07","253","SANTA ROSA DE VITERBO",0.262899994850159,FALSE,"rodolfo_hernández",0.260594560404807,FALSE,"ABELARDO DE LA ESPRIELLA",6324,"exact",FALSE,-0.00230543444535158,"Did not vote Petro before"
"15696","Boyaca","Santa Sofia","07","256","SANTA SOFIA",0.123800002038479,FALSE,"rodolfo_hernández",0.141043723554302,FALSE,"ABELARDO DE LA ESPRIELLA",2127,"exact",FALSE,0.017243721515823,"Did not vote Petro before"
"15720","Boyaca","Sativanorte","07","259","SATIVANORTE",0.134200006723404,FALSE,"rodolfo_hernández",0.129533678756477,FALSE,"ABELARDO DE LA ESPRIELLA",1351,"exact",FALSE,-0.00466632796692726,"Did not vote Petro before"
"15723","Boyaca","Sativasur","07","262","SATIVASUR",0.227099984884262,FALSE,"rodolfo_hernández",0.218954248366013,FALSE,"ABELARDO DE LA ESPRIELLA",612,"exact",FALSE,-0.00814573651824901,"Did not vote Petro before"
"15740","Boyaca","Siachoque","07","265","SIACHOQUE",0.209799990057945,FALSE,"rodolfo_hernández",0.228342245989305,FALSE,"ABELARDO DE LA ESPRIELLA",3740,"exact",FALSE,0.0185422559313596,"Did not vote Petro before"
"15753","Boyaca","Soata","07","268","SOATA",0.222699999809265,FALSE,"rodolfo_hernández",0.262722132471729,FALSE,"ABELARDO DE LA ESPRIELLA",4952,"exact",FALSE,0.0400221326624635,"Did not vote Petro before"
"15755","Boyaca","Socota","07","271","SOCOTA",0.220200002193451,FALSE,"rodolfo_hernández",0.178017104846373,FALSE,"ABELARDO DE LA ESPRIELLA",3157,"exact",FALSE,-0.0421828973470778,"Did not vote Petro before"
"15757","Boyaca","Socha","07","274","SOCHA",0.300700008869171,FALSE,"rodolfo_hernández",0.282685512367491,FALSE,"ABELARDO DE LA ESPRIELLA",3962,"exact",FALSE,-0.01801449650168,"Did not vote Petro before"
