"","Year","Municipality","Mean_price_of_hydrocarbons_in_USD","Total_production_of_the_field_in_barrels_or_kilo_cubic_feet_by_municipality","Total_volume_of_royalties_liquidated_in_barrels_or_kilo_cubic_feet_by_municipality","Total_royalties_liquidated_in_COP_pesos_by_municipality","Production_Years","Production_2010_2019","Opening","Closing","drop_during_crisis","Production_pause","Unique_oil_field_by_municipality"
"321",2012,"RIOHACHA",4.98,42933927,8586785.4,74657601417.04,10,1,"","2021","1","1",4
"322",2012,"RIONEGRO",77.5125,1055271,165994.84,16417667678.11,10,1,"","2021","1","1",6
"323",2012,"SABANA DE TORRES",52.3909349593496,17162259,3373951.32,103867538334.95,10,1,"","2021","1","1",20
"324",2012,"SAHAGUN",5.1075,825312,52819.95,484632902.54,10,1,"","2021","1","1",8
"325",2012,"SAN ALBERTO",95.365,134207,26841.4,4605127511.46,10,1,"","2021","1","1",1
"326",2012,"SAN LUIS",93.8425,720,72.24,12071776.43,10,1,"","2021","1","1",1
"327",2012,"SAN LUIS DE GACENO",95.04,377,30.16,5176643.97,8,0,"","2021","0","1",1
"328",2012,"SAN LUIS DE PALENQUE",90.7453361344538,3518185,350875.41,56842626667.99,10,1,"","2021","1","1",39
"329",2012,"SAN MARTÍN",96.0560674157303,1548096,221818.56,38245320676.38,10,1,"","2021",NA,NA,13
"330",2012,"SAN MIGUEL",96.79,312266,62453.2,10879017270.56,10,1,"","2021","1","1",4
"331",2012,"SAN PEDRO",50.7002857142857,14985479,983055.67,13014086038.96,10,1,"","2021","1","1",5
"332",2012,"SAN VICENTE DE CHUCURI",48.0471666666667,5167864,1000758.92,64086755196.28,10,1,"","2021","1","1",10
"333",2012,"SANTA ROSALIA",89.8425,56985,4558.8,734206201.06,8,0,"","2017","1","0",1
"334",2012,"SARAVENA",98.515,183560,29369.6,5200360184.58,9,0,"","2018","0","1",1
"335",2012,"SARDINATA",33.4944827586207,332072,21259.13,169324752.41,10,1,"","2021","1","1",1
"336",2012,"SIMACOTA",97.89,8647,1729.4,304378730.94,10,1,"","2021","1","1",1
"337",2012,"TALAIGUA NUEVO",103.515,116729,23345.8,4331242202.54,10,1,"","2021","0","1",2
"338",2012,"TAME",NA,NA,NA,NA,5,0,NA,NA,"NA","1",4
"339",2012,"TAURAMENA",51.07,51192558,9874062.72,315934523489.48,10,1,"","2021","0","1",30
"340",2012,"TESALIA",47.1675,632780,31639,3902416976.02,10,1,"","2021","1","1",1
"341",2012,"TIBU",89.1110447761194,1098673,173862.8,28168551145.13,10,1,"","2021","0","1",5
"342",2012,"TOPAGA",69.37,24809,1984.72,247933934.22,10,1,"","2021","1","1",3
"343",2012,"TRINIDAD",88.7857225433526,2149043,209325.29,34653873341.56,10,1,"","2021","1","1",22
"344",2012,"URIBIA",4.98,46004067,9200813.4,79996337266.01,10,1,"","2021","1","1",4
"345",2012,"VALLE DEL GUAMUEZ",96.79,201038,40207.6,7001491967.72,10,1,"","2021","0","1",4
"346",2012,"VILLA NUEVA",95.1725,556271,44499.68,7538210423.04,10,1,"","2021","0","1",16
"347",2012,"VILLAGARZON",86.7153846153846,6224904,555315.79,95744728393.4,10,1,"","2021","1","1",5
"348",2012,"VILLAVICENCIO",64.1491282051282,10594507,1285158.91,127325272593.3,10,1,"","2021","1","1",17
"349",2012,"VILLAVIEJA",93.1,118677,9494.16,1575691858.82,10,1,"","2021","1","1",2
"350",2012,"VISTA HERMOSA",101.765,6063,363.78,66072772.72,8,0,"","2017","0","0",4
"351",2012,"YAGUARA",68.0372727272727,1972995,318105,50722246309.43,10,1,"","2021","1","1",1
"352",2012,"YONDO",73.3177173913043,9038351,1002741.67,158082820280.07,10,1,"","2021","1","1",6
"353",2012,"YOPAL",63.4748529411765,78170067,14802828.68,574527149238.06,10,1,"","2021","0","1",24
"354",2012,"ARIGUANI",88.26,969,77.52,12320852.48,9,0,"2011","2021","0","1",3
"355",2012,"BECERRIL",4.71,1733,110.39,953597.26,7,0,"2011","2017","1","0",2
"356",2012,"EL PASO",4.74166666666667,1949.5,105.875,963697.605,9,0,"2011","2021","1","1",3
"357",2012,"GUAMO",101.845,894,71.52,13391642.6,9,0,"2011","2020","1","1",2
"358",2012,"MUNICIPIO NN CASANARE",95.8725,98779,19755.8,3413776103.51,9,0,"2011","2021","1","1",5
"359",2012,"MUNICIPIO NN SANTANDER",97.485,16933,3386.6,593439131.09,9,0,"2011","","1","1",1
"360",2012,"PIJINO DEL CARMEN",43.6928,176588,11322.37,107713836.88,4,0,"2011","2014","NA","0",1
"361",2012,"PUEBLO NUEVO",5.1075,4606576,294820.86,2710850996.47,9,0,"2011","2021","0","1",6
"362",2012,"SAN VICENTE DEL CAGUAN",NA,NA,NA,NA,3,0,NA,NA,"NA","1",1
"363",2012,"SANTA ANA",86.872,13486,896.9,39199311.06,9,0,"2011","2020","0","1",4
"364",2012,"YACOPI",89.29,11799,943.92,157933890.645,4,0,"2011","2014","1","0",1
"365",2012,"MUNICIPIO NN META",92.7516666666667,6380,382.8,59560549.63,4,0,"2012","2021","NA","1",3
"366",2012,"OVEJAS",53.32,173743,11123.49,88128421.63,6,0,"2012","2021","NA","1",2
